,Company,Location,Date,Job_Title,Subspecialty,Years_Experience,Total_Comp
939,Amazon,"Phoenix, AZ", 1/26/20,L6,Full Stack,,"$387,000"
940,Facebook,"Menlo Park, CA", 1/25/20,M2,Full Stack,,"$937,000"
941,Amazon,"Sunnyvale, CA", 1/25/20,L7,Full Stack,,"$665,000"
942,Autodesk,"San Francisco, CA", 1/25/20,Grade 13,Manager,,"$270,000"
943,Apple,"Cupertino, CA", 1/24/20,Engineering Manager,Full Stack,,"$520,000"
944,Amazon,"Seattle, WA", 1/24/20,L6,Full Stack,,"$410,000"
945,Microsoft,"Redmond, WA", 1/24/20,65,DevOps,,"$260,000"
946,Google,"New York, NY", 1/24/20,L5,DevOps,,"$309,000"
947,Amazon,"Sunnyvale, CA", 1/23/20,L7,iOS,,"$490,000"
948,Capital One,"New York, NY", 1/23/20,Director of Software Eng,ML / AI,,"$310,000"
949,Apple,"San Francisco, CA", 1/23/20,ICT4,Full Stack,,"$318,000"
950,Amazon,"Sao Paulo, SP, Brazil", 1/23/20,L5,Full Stack,,"$95,000"
951,Amazon,"Seattle, WA", 1/23/20,L6 SDM,Distributed Systems (Back-End),,"$365,000"
952,Capital One,"Washington, DC", 1/23/20,Manager,Full Stack,,"$168,000"
953,Salesforce,"Chicago, IL", 1/23/20,Senior,SaaS,,"$200,000"
954,Apple,"Cupertino, CA", 1/22/20,M3,Distributed Systems (Back-End),,"$300,000"
955,Linkedin,"Sunnyvale, CA", 1/22/20,M1,Distributed Systems (Back-End),,"$500,000"
956,Microsoft,"Redmond, WA", 1/21/20,Principal EM,Web Development (Front-End),,"$248,000"
957,Capital One,"Richmond, VA", 1/21/20,Senior Manager,API Development (Back-End),,"$195,000"
958,Microsoft,"Redmond, WA", 1/21/20,65,Full Stack,,"$300,000"
959,DocuSign,"Chicago, IL", 1/21/20,M3,Full Stack,,"$240,000"
960,Qualcomm,"San Diego, CA", 1/21/20,Senior Staff Manager,WiFi,,"$286,000"
961,Amazon,"Boston, MA", 1/21/20,Senior software engineering manager,Systems Engineering,,"$600,000"
962,Google,"Seattle, WA", 1/20/20,Manager (L6),Full Stack,,"$460,000"
963,Marvell,"Santa Clara, CA", 1/20/20,Development Manager,DevOps,,"$135,000"
964,Amazon,"Hyderabad, TS, India", 1/20/20,L6 SDM,ML / AI,,"$112,000"
965,Amazon,"Hyderabad, TS, India", 1/20/20,L6 SDM,Distributed Systems (Back-End),,"$137,000"
966,ServiceNow,"Santa Clara, CA", 1/19/20,M3,Full Stack,,"$400,000"
967,Amazon,"Seattle, WA", 1/19/20,L6 SDM,Distributed Systems (Back-End),,"$280,000"
968,Google,"Seattle, WA", 1/19/20,Manager (L6),Developer Tools,,"$446,000"
969,Microsoft,"Sunnyvale, CA", 1/19/20,65,Full Stack,,"$300,000"
970,Criteo,"Paris, IL, France", 1/19/20,L6,Distributed Systems (Back-End),,"$150,000"
971,Microsoft,"Redmond, WA", 1/18/20,67,Distributed Systems (Back-End),,"$486,000"
972,Microsoft,"Seattle, WA", 1/18/20,Senior Manager,API Development (Back-End),,"$260,000"
973,Oracle,"Seattle, WA", 1/17/20,M4,Distributed Systems (Back-End),,"$700,000"
974,Facebook,"Singapore, SG, Singapore", 1/17/20,M2,Full Stack,,"$580,000"
975,Cisco,"Boston, MA", 1/17/20,Senior Manager,Full Stack,,"$260,000"
976,Amazon,"Boston, MA", 1/16/20,Senior Software Engineering Manager,Databases,,"$500,000"
977,Microsoft,"Redmond, WA", 1/16/20,66,Full Stack,,"$369,000"
978,cgi,"Munich, BY, Germany", 1/15/20,DIRECTOR,DevOps,,"$160,000"
979,Capgemini,"Chicago, IL", 1/15/20,Sr Manager,UX Architect,,"$163,000"
980,Capital One,"Dallas, TX", 1/15/20,Director of Software Eng,Data Engineering,,"$275,000"
981,Uber,"San Francisco, CA", 1/14/20,L6,M2 Engineering Management,,"$620,000"
982,Google,"Mountain View, CA", 1/13/20,L7,Distributed Systems (Back-End),,"$676,000"
983,General Motors,"Austin, TX", 1/11/20,L8,API Development (Back-End),,"$190,000"
984,Under Armour,"Baltimore, MD", 1/10/20,"Manager, Engineering",Distributed Systems (Back-End),,"$189,000"
985,Amazon,"Toronto, ON, Canada", 1/10/20,L6,Full Stack,,"$166,000"
986,Two Sigma,"New York, NY", 1/10/20,L5,Distributed Systems (Back-End),,"$400,000"
987,Broadcom,"Denver, CO", 1/10/20,PM3,Full Stack,,"$237,000"
988,Amazon,"Seattle, W",| 1/9/20,L7,Networking,,"$650,000"
989,Wayfair,"Boston, M",| 1/8/20,L4,Data Science,,"$290,000"
990,Expedia,"London, EN, United Kingdo",| 1/8/20,N,Full Stack,,"$243,000"
991,Uber,"Bangalore, KA, Indi",| 1/8/20,L5B,Full Stack,,"$175,000"
